instance,size_kib,ratio,total_depth,iteration,n_inserted,n_unique,estimated_fp,bits_set,fill_ratio,expected_fill_ratio,materialized_forward,materialized_backward,materialized_total,phase,type_index,type_count,k_mode,k_hashes,split_mode
0,19,0.001,41,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,45,0,37,37,0.000160619,25,0.000160619,0.000237688,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,47,0,4,4,2.5699e-05,4,2.5699e-05,2.56987e-05,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,49,0,10,10,6.42475e-05,10,6.42475e-05,6.42455e-05,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,49,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,51,0,20,20,0.000128495,20,0.000128495,0.000128487,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,51,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,53,0,38,38,0.000244141,38,0.000244141,0.000244111,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,53,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,55,0,80,80,0.00051398,80,0.00051398,0.000513848,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,55,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,57,0,178,178,0.00111791,174,0.00111791,0.00114295,0,0,0,iter,0,1,optk,1,dynamic
0,19,0.001,57,1,1,1,6.42475e-06,1,6.42475e-06,6.42473e-06,1,1,2,iter,0,1,optk,1,dynamic
0,191,0.01,41,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,45,0,37,37,1.59778e-05,25,1.59778e-05,2.36468e-05,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,47,0,4,4,2.55645e-06,4,2.55645e-06,2.55644e-06,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,49,0,10,10,6.39112e-06,10,6.39112e-06,6.3911e-06,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,49,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,51,0,20,20,1.27822e-05,20,1.27822e-05,1.27821e-05,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,51,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,53,0,38,38,2.42862e-05,38,2.42862e-05,2.42859e-05,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,53,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,55,0,80,80,5.11289e-05,80,5.11289e-05,5.11276e-05,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,55,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,57,0,178,178,0.000111205,174,0.000111205,0.000113755,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,57,1,1,1,6.39112e-07,1,6.39112e-07,6.39111e-07,1,1,2,iter,0,1,optk,1,dynamic
0,1906,0.1,41,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,45,0,37,37,1.60113e-06,25,1.60113e-06,2.36967e-06,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,47,0,4,4,2.56181e-07,4,2.56181e-07,2.56181e-07,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,49,0,10,10,6.40453e-07,10,6.40453e-07,6.40453e-07,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,49,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,51,0,20,20,1.28091e-06,20,1.28091e-06,1.2809e-06,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,51,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,53,0,38,38,2.43372e-06,38,2.43372e-06,2.43372e-06,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,53,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,55,0,80,80,5.12362e-06,80,5.12362e-06,5.12361e-06,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,55,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,57,0,178,178,1.11439e-05,174,1.11439e-05,1.14e-05,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,57,1,1,1,6.40453e-08,1,6.40453e-08,6.40453e-08,1,1,2,iter,0,1,optk,1,dynamic
0,9530,0.5,41,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,45,0,37,37,2.69196e-24,100,1.28091e-06,1.89574e-06,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,47,0,4,4,1.7642e-27,16,2.04945e-07,2.04945e-07,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,49,0,10,10,6.89142e-26,40,5.12362e-07,5.12362e-07,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,49,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,51,0,20,20,1.10263e-24,80,1.02472e-06,1.02472e-06,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,51,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,53,0,38,38,1.43695e-23,152,1.94698e-06,1.94697e-06,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,53,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,55,0,80,80,2.82272e-22,320,4.0989e-06,4.09889e-06,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,55,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,57,0,178,178,6.31692e-21,696,8.9151e-06,9.12001e-06,0,0,0,iter,0,1,optk,4,dynamic
0,9530,0.5,57,1,1,1,6.89142e-30,4,5.12362e-08,5.12362e-08,1,1,2,iter,0,1,optk,4,dynamic
1,26,0.001,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,26,0.001,45,0,15,15,4.22551e-05,9,4.22551e-05,7.04227e-05,0,0,0,iter,0,1,optk,1,dynamic
1,26,0.001,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,26,0.001,47,0,87,87,0.000267616,57,0.000267616,0.000408383,0,0,0,iter,0,1,optk,1,dynamic
1,26,0.001,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,26,0.001,49,0,2296,2296,0.00603779,1286,0.00603779,0.0107219,0,0,0,iter,0,1,optk,1,dynamic
1,26,0.001,49,1,51,51,0.000145545,31,0.000145545,0.000239417,0,34,34,iter,0,1,optk,1,dynamic
1,26,0.001,51,0,36904,36904,0.0784161,16702,0.0784161,0.159085,0,0,0,iter,0,1,optk,1,dynamic
1,26,0.001,51,1,5096,5096,0.0149254,3179,0.0149254,0.0236418,0,0,0,iter,0,1,optk,1,dynamic
1,26,0.001,51,2,655,655,0.0013193,281,0.0013193,0.00307051,298,0,298,iter,0,1,optk,1,dynamic
1,26,0.001,53,0,364061,364061,0.498685,106216,0.498685,0.819002,0,0,0,iter,0,1,optk,1,dynamic
1,26,0.001,53,0,53198,53198,0.0957501,20394,0.0957501,0.221016,24009,0,24009,type,0,3,optk,1,dynamic
1,26,0.001,53,1,244874,244874,0.437106,93100,0.437106,0.683264,0,0,0,iter,0,1,optk,1,dynamic
1,26,0.001,53,1,53245,53245,0.0959567,20438,0.0959567,0.221188,24255,0,24255,type,1,3,optk,1,dynamic
1,26,0.001,53,2,52444,52444,0.0951632,20269,0.0951632,0.218254,23923,0,23923,type,2,3,optk,1,dynamic
1,26,0.001,55,0,2484110,2484110,0.983521,209482,0.983521,0.999991,0,0,0,iter,0,1,optk,1,dynamic
1,26,0.001,55,0,306387,306387,0.398489,84875,0.398489,0.762714,108465,1,108466,type,0,8,optk,1,dynamic
1,26,0.001,55,1,3129631,3129631,0.996765,212303,0.996765,1,0,0,0,iter,0,1,optk,1,dynamic
1,257,0.01,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,257,0.01,45,0,15,15,4.27484e-06,9,4.27484e-06,7.1247e-06,0,0,0,iter,0,1,optk,1,dynamic
1,257,0.01,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,257,0.01,47,0,87,87,2.7074e-05,57,2.7074e-05,4.13226e-05,0,0,0,iter,0,1,optk,1,dynamic
1,257,0.01,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,257,0.01,49,0,2296,2296,0.000612251,1289,0.000612251,0.00108996,0,0,0,iter,0,1,optk,1,dynamic
1,257,0.01,49,1,5,5,9.49964e-07,2,9.49964e-07,2.37491e-06,0,2,2,iter,0,1,optk,1,dynamic
1,257,0.01,51,0,36904,36904,0.00822146,17309,0.00822146,0.017376,0,0,0,iter,0,1,optk,1,dynamic
1,257,0.01,51,1,632,632,0.000166244,350,0.000166244,0.000300143,0,354,354,iter,0,1,optk,1,dynamic
1,257,0.01,53,0,364061,364061,0.0675058,142123,0.0675058,0.158797,0,0,0,iter,0,1,optk,1,dynamic
1,257,0.01,53,1,32926,32926,0.00783625,16498,0.00783625,0.0155176,0,18326,18326,iter,0,1,optk,1,dynamic
1,257,0.01,55,0,223273,223273,0.0369883,77873,0.0369883,0.100621,92493,1,92494,type,0,2,optk,1,dynamic
1,257,0.01,55,0,2484110,2484110,0.339469,714700,0.339469,0.692693,0,0,0,iter,0,1,optk,1,dynamic
1,257,0.01,55,1,1081876,1081876,0.181451,382016,0.181451,0.401825,0,0,0,iter,0,1,optk,1,dynamic
1,2569,0.1,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,45,0,15,15,1.87684e-44,72,3.4212e-06,5.70198e-06,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,47,0,87,87,4.85832e-38,456,2.16676e-05,3.30711e-05,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,49,0,2296,2296,3.34094e-27,10319,0.000490324,0.000872405,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,49,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,51,0,36904,36904,3.56147e-18,138710,0.00659104,0.0139305,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,51,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,53,0,364061,364061,7.67612e-11,1144977,0.0544055,0.129242,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,53,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,55,0,2484110,2484110,4.03979e-05,5942222,0.282355,0.611046,0,0,0,iter,0,1,optk,8,dynamic
1,2569,0.1,55,1,152,152,2.71453e-38,424,2.01471e-05,5.77786e-05,1,53,54,iter,0,1,optk,8,dynamic
1,12843,0.5,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,45,0,15,15,2.20682e-224,369,3.50728e-06,5.84544e-06,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,47,0,87,87,1.6244e-191,2337,2.22127e-05,3.39031e-05,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,49,0,2296,2296,5.59683e-136,52872,0.000502538,0.000894345,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,49,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,51,0,36904,36904,1.04951e-89,710946,0.00675741,0.0142785,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,51,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,53,0,364061,364061,3.87537e-52,5862905,0.0557258,0.132269,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,53,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,55,0,2484110,2484110,7.15552e-23,30333723,0.288316,0.620177,0,0,0,iter,0,1,optk,41,dynamic
1,12843,0.5,55,1,7,7,7.3934e-229,287,2.72788e-06,2.72788e-06,1,7,8,iter,0,1,optk,41,dynamic
2,265,0.001,41,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,45,0,4,4,9.21285e-07,2,9.21285e-07,1.84257e-06,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,47,0,78,78,1.33586e-05,29,1.33586e-05,3.59295e-05,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,49,0,2003,2003,0.000321989,699,0.000321989,0.000922242,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,49,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,51,0,25242,25242,0.00444244,9644,0.00444244,0.0115602,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,51,1,194,194,3.91546e-05,85,3.91546e-05,8.93607e-05,0,85,85,iter,0,1,optk,1,dynamic
2,265,0.001,53,0,231630,231630,0.040093,87037,0.040093,0.101204,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,53,1,12373,12373,0.0021899,4754,0.0021899,0.00568332,0,5023,5023,iter,0,1,optk,1,dynamic
2,265,0.001,55,0,1597832,1597832,0.228735,496557,0.228735,0.520988,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,55,1,451449,451449,0.0620375,134676,0.0620375,0.187758,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,55,2,98417,98417,0.0158208,34345,0.0158208,0.0443228,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,55,3,31087,31087,0.00444474,9649,0.00444474,0.014218,0,12315,12315,iter,0,1,optk,1,dynamic
2,265,0.001,57,0,753927,753927,0.0952042,206677,0.0952042,0.2934,229971,0,229971,type,0,8,optk,1,dynamic
2,265,0.001,57,0,9711168,9711168,0.725013,1573917,0.725013,0.988591,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,57,1,754452,754452,0.0949242,206069,0.0949242,0.293571,229008,0,229008,type,1,8,optk,1,dynamic
2,265,0.001,57,1,8368617,8368617,0.61962,1345121,0.61962,0.978825,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,57,2,759896,759896,0.0952623,206803,0.0952623,0.29534,230258,0,230258,type,2,8,optk,1,dynamic
2,265,0.001,57,3,753089,753089,0.0954558,207223,0.0954558,0.293127,230793,0,230793,type,3,8,optk,1,dynamic
2,265,0.001,57,4,746683,746683,0.094681,205541,0.094681,0.291039,228617,0,228617,type,4,8,optk,1,dynamic
2,265,0.001,57,5,744137,744137,0.0943235,204765,0.0943235,0.290207,227795,0,227795,type,5,8,optk,1,dynamic
2,265,0.001,57,6,751898,751898,0.0951789,206622,0.0951789,0.29274,229711,0,229711,type,6,8,optk,1,dynamic
2,265,0.001,57,7,751678,751678,0.0953811,207061,0.0953811,0.292668,230223,0,230223,type,7,8,optk,1,dynamic
2,265,0.001,59,0,47808853,47808853,0.993447,2156655,0.993447,1,0,0,0,iter,0,1,optk,1,dynamic
2,265,0.001,59,0,5949186,5949186,0.462963,1005037,0.462963,0.935459,1354582,1,1354583,type,0,8,optk,1,dynamic
2,265,0.001,59,1,53561791,53561791,0.992697,2155026,0.992697,1,0,0,0,iter,0,1,optk,1,dynamic
2,2647,0.01,41,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,2647,0.01,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,2647,0.01,45,0,4,4,9.2233e-08,2,9.2233e-08,1.84466e-07,0,0,0,iter,0,1,optk,1,dynamic
2,2647,0.01,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,2647,0.01,47,0,78,78,1.33738e-06,29,1.33738e-06,3.59708e-06,0,0,0,iter,0,1,optk,1,dynamic
2,2647,0.01,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,2647,0.01,49,0,2003,2003,3.22354e-05,699,3.22354e-05,9.2367e-05,0,0,0,iter,0,1,optk,1,dynamic
