instance,size_kib,ratio,total_depth,iteration,n_inserted,n_unique,estimated_fp,bits_set,fill_ratio,expected_fill_ratio,materialized_forward,materialized_backward,materialized_total,phase,type_index,type_count,k_mode,k_hashes,split_mode
0,9,0.001,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,9,0.001,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,9,0.001,13,0,8,8,6.78168e-05,5,6.78168e-05,0.000108501,0,0,0,iter,0,1,optk,1,dynamic
0,9,0.001,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,9,0.001,14,0,2234,2234,0.0256755,1893,0.0256755,0.0298461,0,0,0,iter,0,1,optk,1,dynamic
0,9,0.001,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,9,0.001,15,0,35039,35039,0.324666,23937,0.324666,0.378268,0,0,0,iter,0,1,optk,1,dynamic
0,9,0.001,15,1,939,939,0.00150553,111,0.00150553,0.0126552,0,111,111,iter,0,1,optk,1,dynamic
0,9,0.001,16,0,238965,238965,0.930813,68627,0.930813,0.960882,0,0,0,iter,0,1,optk,1,dynamic
0,9,0.001,16,0,4266,4266,0.0461561,3403,0.0461561,0.0562192,5574,1,5575,type,0,4,optk,1,dynamic
0,9,0.001,16,1,41718,41718,0.070421,5192,0.070421,0.432115,0,0,0,iter,0,1,optk,1,dynamic
0,92,0.01,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,92,0.01,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,92,0.01,13,0,8,8,6.63426e-06,5,6.63426e-06,1.06148e-05,0,0,0,iter,0,1,optk,1,dynamic
0,92,0.01,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,92,0.01,14,0,2234,2234,0.00253959,1914,0.00253959,0.0029598,0,0,0,iter,0,1,optk,1,dynamic
0,92,0.01,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,92,0.01,15,0,35039,35039,0.0377065,28418,0.0377065,0.0454274,0,0,0,iter,0,1,optk,1,dynamic
0,92,0.01,15,1,25,25,1.32685e-05,10,1.32685e-05,3.31707e-05,0,10,10,iter,0,1,optk,1,dynamic
0,92,0.01,16,0,238965,238965,0.228638,172316,0.228638,0.271721,0,0,0,iter,0,1,optk,1,dynamic
0,92,0.01,16,1,8721,8721,0.00189474,1428,0.00189474,0.0115048,1,1435,1436,iter,0,1,optk,1,dynamic
0,920,0.1,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,920,0.1,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,920,0.1,13,0,8,8,4.95917e-23,20,2.6537e-06,4.24591e-06,0,0,0,iter,0,1,optk,4,dynamic
0,920,0.1,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,920,0.1,14,0,2234,2234,1.06487e-12,7656,0.00101584,0.00118497,0,0,0,iter,0,1,optk,4,dynamic
0,920,0.1,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,920,0.1,15,0,35039,35039,5.40237e-08,114901,0.0152457,0.0184248,0,0,0,iter,0,1,optk,4,dynamic
0,920,0.1,15,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
0,920,0.1,16,0,238965,238965,9.45813e-05,743240,0.0986169,0.119115,0,0,0,iter,0,1,optk,4,dynamic
0,920,0.1,16,1,257,257,3.70509e-17,588,7.80189e-05,0.000136391,1,147,148,iter,0,1,optk,4,dynamic
0,4599,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,18,dynamic
0,4599,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,18,dynamic
0,4599,0.5,13,0,8,8,6.41808e-102,90,2.38885e-06,3.82216e-06,0,0,0,iter,0,1,optk,18,dynamic
0,4599,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,18,dynamic
0,4599,0.5,14,0,2234,2234,2.00672e-55,34459,0.000914638,0.00106677,0,0,0,iter,0,1,optk,18,dynamic
0,4599,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,18,dynamic
0,4599,0.5,15,0,35039,35039,3.02115e-34,517417,0.0137337,0.0166012,0,0,0,iter,0,1,optk,18,dynamic
0,4599,0.5,15,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,18,dynamic
0,4599,0.5,16,0,238965,238965,1.28592e-19,3361749,0.0892302,0.107894,0,0,0,iter,0,1,optk,18,dynamic
0,4599,0.5,16,1,256,256,1.52861e-75,2628,6.97545e-05,0.000122302,1,146,147,iter,0,1,optk,18,dynamic
1,3,0.001,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,3,0.001,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,3,0.001,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,3,0.001,13,0,3,3,0.00012207,3,0.00012207,0.000122063,0,0,0,iter,0,1,optk,1,dynamic
1,3,0.001,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,3,0.001,14,0,37,37,0.000976562,24,0.000976562,0.0015044,0,0,0,iter,0,1,optk,1,dynamic
1,3,0.001,14,1,16,16,0.000528971,13,0.000528971,0.00065083,0,25,25,iter,0,1,optk,1,dynamic
1,3,0.001,15,0,2315,2315,0.0293376,721,0.0293376,0.0898971,759,1,760,type,0,2,optk,1,dynamic
1,3,0.001,15,0,9182,9182,0.114909,2824,0.114909,0.311759,0,0,0,iter,0,1,optk,1,dynamic
1,3,0.001,15,1,26067,26067,0.493001,12116,0.493001,0.653776,0,0,0,iter,0,1,optk,1,dynamic
1,32,0.01,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,32,0.01,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,32,0.01,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,32,0.01,13,0,3,3,1.14441e-05,3,1.14441e-05,1.1444e-05,0,0,0,iter,0,1,optk,1,dynamic
1,32,0.01,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,32,0.01,14,0,37,37,9.15527e-05,24,9.15527e-05,0.000141134,0,0,0,iter,0,1,optk,1,dynamic
1,32,0.01,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,32,0.01,15,0,9182,9182,0.0113907,2986,0.0113907,0.0344202,0,0,0,iter,0,1,optk,1,dynamic
1,32,0.01,15,1,2701,2701,0.00651932,1709,0.00651932,0.0102506,1,2611,2612,iter,0,1,optk,1,dynamic
1,325,0.1,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
1,325,0.1,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
1,325,0.1,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
1,325,0.1,13,0,3,3,3.86285e-17,9,3.38041e-06,3.3804e-06,0,0,0,iter,0,1,optk,3,dynamic
1,325,0.1,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
1,325,0.1,14,0,37,37,1.97778e-14,72,2.70433e-05,4.16908e-05,0,0,0,iter,0,1,optk,3,dynamic
1,325,0.1,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
1,325,0.1,15,0,9182,9182,3.85127e-08,8991,0.00337703,0.010293,0,0,0,iter,0,1,optk,3,dynamic
1,325,0.1,15,1,7,7,3.09028e-16,18,6.76082e-06,7.88759e-06,1,6,7,iter,0,1,optk,3,dynamic
1,1625,0.5,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,16,dynamic
1,1625,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,16,dynamic
1,1625,0.5,12,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,16,dynamic
1,1625,0.5,13,0,3,3,8.1652e-88,48,3.60577e-06,3.60576e-06,0,0,0,iter,0,1,optk,16,dynamic
1,1625,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,16,dynamic
1,1625,0.5,14,0,37,37,2.2983e-73,384,2.88462e-05,4.44702e-05,0,0,0,iter,0,1,optk,16,dynamic
1,1625,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,16,dynamic
1,1625,0.5,15,0,9182,9182,7.95282e-40,47921,0.00359983,0.0109754,0,0,0,iter,0,1,optk,16,dynamic
1,1625,0.5,15,1,7,7,5.35115e-83,96,7.21154e-06,8.41343e-06,1,6,7,iter,0,1,optk,16,dynamic
2,1,0.001,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,1,0.001,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,1,0.001,12,0,21,21,0.0020752,17,0.0020752,0.00256019,0,0,0,iter,0,1,optk,1,dynamic
2,1,0.001,12,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
2,1,0.001,13,0,1212,1212,0.102539,840,0.102539,0.137525,0,0,0,iter,0,1,optk,1,dynamic
2,1,0.001,13,1,75,75,0.00415039,34,0.00415039,0.00911349,1,34,35,iter,0,1,optk,1,dynamic
2,1,0.01,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
