instance,size_kib,ratio,total_depth,iteration,n_inserted,n_unique,estimated_fp,bits_set,fill_ratio,expected_fill_ratio,materialized_forward,materialized_backward,materialized_total,phase,type_index,type_count,k_mode,k_hashes,split_mode
51,2808,0.5,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,18,dynamic
51,2808,0.5,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,18,dynamic
51,2808,0.5,12,0,14,14,4.68728e-102,54,2.34751e-06,1.0955e-05,0,0,0,iter,0,1,optk,18,dynamic
51,2808,0.5,12,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,18,dynamic
51,2808,0.5,13,0,589,589,8.96242e-66,5598,0.000243358,0.000460787,0,0,0,iter,0,1,optk,18,dynamic
51,2808,0.5,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,18,dynamic
51,2808,0.5,14,0,17027,17027,1.35628e-38,181146,0.00787484,0.0132353,0,0,0,iter,0,1,optk,18,dynamic
51,2808,0.5,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,18,dynamic
51,2808,0.5,15,0,240082,240082,1.00818e-17,2615407,0.113698,0.171273,0,0,0,iter,0,1,optk,18,dynamic
51,2808,0.5,15,1,32,32,4.68728e-84,540,2.34751e-05,2.50398e-05,1,30,31,iter,0,1,optk,18,dynamic
51,562,0.1,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
51,562,0.1,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
51,562,0.1,12,0,14,14,4.61551e-23,12,2.60648e-06,1.21635e-05,0,0,0,iter,0,1,optk,4,dynamic
51,562,0.1,12,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
51,562,0.1,13,0,589,589,5.31349e-15,1243,0.000269988,0.000511609,0,0,0,iter,0,1,optk,4,dynamic
51,562,0.1,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
51,562,0.1,14,0,17027,17027,5.83964e-09,40246,0.00874171,0.0146846,0,0,0,iter,0,1,optk,4,dynamic
51,562,0.1,14,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,4,dynamic
51,562,0.1,15,0,240082,240082,0.000247197,577281,0.125389,0.188272,0,0,0,iter,0,1,optk,4,dynamic
51,562,0.1,15,1,34,34,5.97496e-19,128,2.78025e-05,2.95397e-05,1,32,33,iter,0,1,optk,4,dynamic
51,56,0.01,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
51,56,0.01,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
51,56,0.01,12,0,14,14,6.53948e-06,3,6.53948e-06,3.05171e-05,0,0,0,iter,0,1,optk,1,dynamic
51,56,0.01,12,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
51,56,0.01,13,0,589,589,0.000677926,311,0.000677926,0.00128309,0,0,0,iter,0,1,optk,1,dynamic
51,56,0.01,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
51,56,0.01,14,0,17027,17027,0.0217765,9990,0.0217765,0.0364356,0,0,0,iter,0,1,optk,1,dynamic
51,56,0.01,14,1,91,91,7.19343e-05,33,7.19343e-05,0.000198345,0,34,34,iter,0,1,optk,1,dynamic
51,56,0.01,15,0,240082,240082,0.285882,131149,0.285882,0.40746,0,0,0,iter,0,1,optk,1,dynamic
51,56,0.01,15,1,22764,22764,0.0118103,5418,0.0118103,0.0484105,0,0,0,iter,0,1,optk,1,dynamic
51,56,0.01,15,2,2791,2791,0.00391933,1798,0.00391933,0.00606543,2408,1,2409,iter,0,1,optk,1,dynamic
51,6,0.001,10,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
51,6,0.001,11,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
51,6,0.001,12,0,14,14,6.10352e-05,3,6.10352e-05,0.00028479,0,0,0,iter,0,1,optk,1,dynamic
51,6,0.001,12,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
51,6,0.001,13,0,589,589,0.00630697,310,0.00630697,0.0119117,0,0,0,iter,0,1,optk,1,dynamic
51,6,0.001,13,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
51,6,0.001,14,0,17027,17027,0.186056,9145,0.186056,0.292781,0,0,0,iter,0,1,optk,1,dynamic
51,6,0.001,14,1,705,705,0.00549316,270,0.00549316,0.0142409,0,277,277,iter,0,1,optk,1,dynamic
51,6,0.001,15,0,240082,240082,0.956584,47018,0.956584,0.992437,0,0,0,iter,0,1,optk,1,dynamic
51,6,0.001,15,1,74685,74685,0.309713,15223,0.309713,0.781172,0,0,0,iter,0,1,optk,1,dynamic
51,6,0.001,15,0,10465,10465,0.129395,6360,0.129395,0.191772,8825,1,8826,type,0,7,optk,1,dynamic
