instance,size_kib,ratio,total_depth,iteration,n_inserted,n_unique,estimated_fp,bits_set,fill_ratio,expected_fill_ratio,materialized_forward,materialized_backward,materialized_total,phase,type_index,type_count,k_mode,k_hashes,split_mode
86,17762,0.5,34,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,36,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,38,0,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,40,0,6,6,3.43628e-08,5,3.43628e-08,4.12353e-08,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,40,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,42,0,1660,1660,6.96877e-06,1014,6.96877e-06,1.14084e-05,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,42,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,44,0,10853,10853,4.0067e-05,5830,4.0067e-05,7.45851e-05,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,44,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,46,0,55266,55266,0.000196273,28559,0.000196273,0.000379746,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,46,1,0,0,0,0,0,0,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,48,0,239494,239494,0.000800405,116464,0.000800405,0.00164458,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,48,1,127,127,1.85559e-07,27,1.85559e-07,8.72814e-07,0,27,27,iter,0,1,k1,1,dynamic
86,17762,0.5,50,0,927148,927148,0.00280882,408701,0.00280882,0.00635162,0,0,0,iter,0,1,k1,1,dynamic
86,17762,0.5,50,1,2637,2637,3.45689e-06,503,3.45689e-06,1.81228e-05,0,504,504,iter,0,1,k1,1,dynamic
