instance,size_kib,ratio,total_depth,iteration,n_inserted,n_unique,estimated_fp,bits_set,fill_ratio,expected_fill_ratio,materialized_forward,materialized_backward,materialized_total,phase,type_index,type_count,k_mode,k_hashes,split_mode
0,9530,0.5,41,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,45,0,37,37,8.86615e-19,75,9.60679e-07,1.4218e-06,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,47,0,4,4,3.63158e-21,12,1.53709e-07,1.53709e-07,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,49,0,10,10,5.67434e-20,30,3.84272e-07,3.84272e-07,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,49,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,51,0,20,20,4.53947e-19,60,7.68543e-07,7.68543e-07,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,51,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,53,0,38,38,3.11362e-18,114,1.46023e-06,1.46023e-06,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,53,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,55,0,80,80,2.90526e-17,240,3.07417e-06,3.07417e-06,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,55,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,57,0,178,178,2.98926e-16,522,6.68633e-06,6.84001e-06,0,0,0,iter,0,1,optk,3,dynamic
0,9530,0.5,57,1,1,1,5.67434e-23,3,3.84272e-08,3.84272e-08,1,1,2,iter,0,1,optk,3,dynamic
0,1906,0.1,41,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,45,0,37,37,1.60113e-06,25,1.60113e-06,2.36967e-06,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,47,0,4,4,2.56181e-07,4,2.56181e-07,2.56181e-07,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,49,0,10,10,6.40453e-07,10,6.40453e-07,6.40453e-07,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,49,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,51,0,20,20,1.28091e-06,20,1.28091e-06,1.2809e-06,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,51,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,53,0,38,38,2.43372e-06,38,2.43372e-06,2.43372e-06,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,53,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,55,0,80,80,5.12362e-06,80,5.12362e-06,5.12361e-06,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,55,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,57,0,178,178,1.11439e-05,174,1.11439e-05,1.14e-05,0,0,0,iter,0,1,optk,1,dynamic
0,1906,0.1,57,1,1,1,6.40453e-08,1,6.40453e-08,6.40453e-08,1,1,2,iter,0,1,optk,1,dynamic
0,191,0.01,41,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,45,0,37,37,1.59778e-05,25,1.59778e-05,2.36468e-05,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,47,0,4,4,2.55645e-06,4,2.55645e-06,2.55644e-06,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,49,0,10,10,6.39112e-06,10,6.39112e-06,6.3911e-06,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,49,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,51,0,20,20,1.27822e-05,20,1.27822e-05,1.27821e-05,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,51,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,53,0,38,38,2.42862e-05,38,2.42862e-05,2.42859e-05,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,53,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,55,0,80,80,5.11289e-05,80,5.11289e-05,5.11276e-05,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,55,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,57,0,178,178,0.000111205,174,0.000111205,0.000113755,0,0,0,iter,0,1,optk,1,dynamic
0,191,0.01,57,1,1,1,6.39112e-07,1,6.39112e-07,6.39111e-07,1,1,2,iter,0,1,optk,1,dynamic
1,12843,0.5,43,0,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,12843,0.5,45,0,15,15,8.55433e-08,9,8.55433e-08,1.42572e-07,0,0,0,iter,0,1,optk,1,dynamic
1,12843,0.5,45,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,12843,0.5,47,0,87,87,5.41774e-07,57,5.41774e-07,8.26918e-07,0,0,0,iter,0,1,optk,1,dynamic
1,12843,0.5,47,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
1,12843,0.5,49,0,2296,2296,1.22612e-05,1290,1.22612e-05,2.18228e-05,0,0,0,iter,0,1,optk,1,dynamic
1,12843,0.5,49,1,0,0,0,0,0,0,0,0,0,iter,0,1,optk,1,dynamic
