Puzzle,A_Star_Time,IDAStar_Time,Bloom_Time
0,0.0003934,4.68e-05,8.69e-05
1,0.0001615,4.37e-05,0.0001433
2,0.001946,0.0015898,0.0051474
3,0.0011949,0.0005239,0.0021381
4,0.0001281,4.06e-05,0.0001383
5,0.0003415,0.0003824,0.0012377
6,0.000187,0.0001116,0.0006185
7,0.0003791,0.0001625,0.0005766
8,0.0003942,0.0002935,0.0009044
9,0.0002718,7.45e-05,0.0003939
10,0.0001422,9.61e-05,0.0004161
11,0.0012911,0.0007559,0.0025322
12,0.0002544,6.6e-05,0.0001842
13,0.0012655,0.0002412,0.0011339
14,0.0003433,5.43e-05,0.0003661
15,0.0005257,0.0003605,0.0014152
16,0.0002131,8.65e-05,0.0002011
17,9.83e-05,9.99e-05,0.0002995
18,0.0003437,0.000134,0.0010727
19,0.0003893,0.0002427,0.0006551
20,0.0011179,0.0001445,0.0010863
21,0.0021847,0.0010455,0.0034355
22,8.97e-05,3.74e-05,0.0001208
23,0.0003385,0.0002342,0.000498
24,0.001223,0.0006957,0.0043265
25,0.0002257,9.04e-05,0.0005259
26,0.0005518,0.0004756,0.0009331
27,0.000121,6.82e-05,0.0001591
28,9.83e-05,0.0001011,0.0002401
29,7.78e-05,3.17e-05,0.0001142
30,0.0002509,0.0002102,0.0007075
31,0.0010402,0.0004196,0.0028419
32,0.0013132,0.0007027,0.0031078
33,0.0001596,9.63e-05,0.0004625
34,0.0001089,8.44e-05,0.0005166
35,0.0001164,6.34e-05,0.0004269
36,0.0001137,4.68e-05,0.0002082
37,0.0002192,7.19e-05,0.0001937
38,0.0002329,0.0002278,0.0006642
39,0.0002698,0.0002016,0.0009049
40,0.000564,6.82e-05,0.0004941
41,0.0003204,0.0001595,0.0005781
42,0.0002909,0.0002461,0.0008848
43,0.0001065,6.13e-05,0.00014
44,6.81e-05,3.16e-05,5.78e-05
45,0.0007996,0.0003859,0.001616
46,0.0003131,8.6e-05,0.0004469
47,0.0027173,0.0003353,0.0026833
48,0.0004653,0.0003385,0.0009814
49,0.0007987,0.0006322,0.0022544
50,0.0005148,0.0001961,0.001249
51,0.0003828,0.0002057,0.00065
52,0.0016426,0.0005473,0.0031294
53,0.0007866,0.0004514,0.0006031
54,0.0010298,0.0002819,0.0012782
55,0.000262501,7.86e-05,0.0002778
56,7.68e-05,3.47e-05,5.18e-05
57,0.0001298,8.42e-05,0.0005046
58,0.0003091,0.0001257,0.0004802
59,0.0001325,0.0001224,0.0003184
60,0.0004551,0.0001456,0.000673
61,0.0001562,0.0001148,0.0004893
62,0.0003757,6.91e-05,0.0006515
63,0.0009009,0.0006391,0.0030579
64,0.0004976,0.000301,0.0010809
65,0.0001877,4.55e-05,0.0002057
66,9.4e-05,6.51e-05,0.0001662
67,0.0007361,0.0001967,0.001614
68,0.0001638,0.0001119,0.0002417
69,0.0002047,8.8e-05,0.0004
70,0.000363,8.7e-05,0.0003231
71,0.0001727,0.0001472,0.0002905
72,0.0004358,0.000147,0.0005856
73,0.0018981,0.000541,0.0023452
74,0.0004061,0.000155,0.0009686
75,0.0002053,0.000265,0.0007967
76,0.0008488,0.0002409,0.0008786
77,0.0004819,0.0002192,0.0010476
78,5.36e-05,1.3e-05,6.2e-05
79,0.0006508,0.0002369,0.0008269
80,0.0008814,0.000292,0.0016738
81,0.0005334,0.0004081,0.0011652
82,0.0004261,0.0001478,0.0006033
83,0.0001532,0.0001533,0.0003943
84,0.0067044,0.0017139,0.0107115
85,0.0002035,7.03e-05,0.0003282
86,0.0012381,0.0005266,0.0050477
87,0.0001813,0.0001794,0.0005477
88,0.0002894,6.24e-05,0.0003283
89,0.000294,0.0002022,0.0010072
90,0.0004543,9.63e-05,0.0002933
91,0.001881,0.0007952,0.004152
92,0.0011802,0.0009349,0.0027526
93,0.0001936,7.88e-05,0.0003905
94,0.0005721,0.0003356,0.0013365
95,0.0008558,0.0005221,0.0014199
96,0.0018317,0.0008893,0.0043621
97,0.0002134,6.92e-05,0.0002103
98,0.0008024,0.0003162,0.0006147
99,0.0003797,0.0002234,0.0010638
100,0.0001597,7.81e-05,0.0003303
101,0.000487,0.0003109,0.0013616
102,0.0015053,0.0004532,0.0023494
103,0.0003255,0.0003068,0.0008563
104,0.0011341,0.000665,0.004309
105,0.0002176,3.78e-05,0.0001507
106,0.0001049,4.59e-05,0.0001094
107,0.0004115,0.0001813,0.0010614
108,0.0001601,8.62e-05,0.0002722
109,7.64e-05,7.84e-05,0.0003284
110,0.0005215,0.000167,0.0007921
111,0.0001694,7.07e-05,0.0001855
112,0.0005011,0.0001317,0.0004948
113,0.0006781,0.0005854,0.0027111
114,0.0001744,4.8e-05,0.0002077
115,0.0003515,9.7e-05,0.0004234
116,0.0012978,0.000753,0.0030975
117,0.0002529,0.0001023,0.0001975
118,0.0002695,0.0001457,0.000601
119,0.0018095,0.0003965,0.00339
120,0.000723,0.0001386,0.0007249
121,9.81e-05,4.84e-05,0.000207
122,0.0013338,0.0004649,0.0046363
123,0.0002465,0.0001179,0.0007162
124,0.0002127,6.34e-05,0.0002148
125,0.0002395,0.0001342,0.0004267
126,5.14e-05,1.37e-05,6.95e-05
127,0.0001273,0.0001394,0.0004063
128,4.71e-05,1.34e-05,5.43e-05
129,0.0001603,0.0001069,0.0003481
130,0.0008811,0.0005125,0.0029005
131,0.000272,0.0001644,0.0003751
132,0.0001064,4.16e-05,0.0001135
133,0.0008624,0.0006729,0.0019602
