Size,K_Hash,Set_Ratio,Total,Stable,Unstable,Stab_Percent,Avg_Loop,Avg_Final_Inserted,Avg_Set_Size
1,1,0.0,1000,895,105,89.5,39.683,15.691,0.0
1,2,0.0,1000,889,111,88.9,41.359,15.411,0.0
1,4,0.0,1000,894,106,89.4,40.054,16.35,0.0
1,8,0.0,1000,897,103,89.7,41.038,17.21,0.0
1,16,0.0,1000,886,114,88.6,41.865,18.942,0.0
2,1,0.0,1000,963,37,96.3,23.01,4.359,0.0
2,2,0.0,1000,967,33,96.7,22.916,4.256,0.0
2,4,0.0,1000,959,41,95.89999999999999,23.526,4.496,0.0
2,8,0.0,1000,963,37,96.3,23.431,4.532,0.0
2,16,0.0,1000,958,42,95.8,23.348,4.998,0.0
4,1,0.0,1000,986,14,98.6,14.338,1.748,0.0
4,2,0.0,1000,992,8,99.2,14.231,1.711,0.0
4,4,0.0,1000,988,12,98.8,14.936,1.698,0.0
4,8,0.0,1000,989,11,98.9,14.499,1.741,0.0
4,16,0.0,1000,992,8,99.2,13.903,1.751,0.0
8,1,0.0,1000,1000,0,100.0,9.881,1.551,0.0
8,2,0.0,1000,999,1,99.9,9.835,1.581,0.0
8,4,0.0,1000,998,2,99.8,10.632,1.54,0.0
8,8,0.0,1000,999,1,99.9,10.199,1.583,0.0
8,16,0.0,1000,999,1,99.9,9.849,1.556,0.0
16,1,0.0,1000,1000,0,100.0,8.51,1.549,0.0
16,2,0.0,1000,1000,0,100.0,8.464,1.549,0.0
16,4,0.0,1000,999,1,99.9,8.703,1.545,0.0
16,8,0.0,1000,1000,0,100.0,8.521,1.547,0.0
16,16,0.0,1000,1000,0,100.0,8.365,1.544,0.0
32,1,0.0,1000,1000,0,100.0,7.82,1.528,0.0
32,2,0.0,1000,1000,0,100.0,7.87,1.541,0.0
32,4,0.0,1000,1000,0,100.0,7.945,1.55,0.0
32,8,0.0,1000,1000,0,100.0,7.997,1.541,0.0
32,16,0.0,1000,1000,0,100.0,7.773,1.533,0.0
64,1,0.0,1000,1000,0,100.0,7.526,1.54,0.0
64,2,0.0,1000,1000,0,100.0,7.562,1.527,0.0
64,4,0.0,1000,1000,0,100.0,7.536,1.529,0.0
64,8,0.0,1000,1000,0,100.0,7.475,1.515,0.0
64,16,0.0,1000,1000,0,100.0,7.514,1.535,0.0
128,1,0.0,1000,1000,0,100.0,7.246,1.517,0.0
128,2,0.0,1000,1000,0,100.0,7.296,1.517,0.0
128,4,0.0,1000,1000,0,100.0,7.308,1.523,0.0
128,8,0.0,1000,1000,0,100.0,7.258,1.504,0.0
128,16,0.0,1000,1000,0,100.0,7.294,1.524,0.0
256,1,0.0,1000,1000,0,100.0,7.144,1.502,0.0
256,2,0.0,1000,1000,0,100.0,7.171,1.517,0.0
256,4,0.0,1000,1000,0,100.0,7.146,1.509,0.0
256,8,0.0,1000,1000,0,100.0,7.16,1.515,0.0
256,16,0.0,1000,1000,0,100.0,7.184,1.511,0.0
512,1,0.0,1000,1000,0,100.0,7.129,1.516,0.0
512,2,0.0,1000,1000,0,100.0,7.109,1.513,0.0
512,4,0.0,1000,1000,0,100.0,7.084,1.511,0.0
512,8,0.0,1000,1000,0,100.0,7.109,1.506,0.0
512,16,0.0,1000,1000,0,100.0,7.095,1.511,0.0
1024,1,0.0,1000,1000,0,100.0,7.043,1.506,0.0
1024,2,0.0,1000,1000,0,100.0,7.051,1.506,0.0
1024,4,0.0,1000,1000,0,100.0,7.061,1.509,0.0
1024,8,0.0,1000,1000,0,100.0,7.046,1.516,0.0
1024,16,0.0,1000,1000,0,100.0,7.046,1.509,0.0
2048,1,0.0,1000,1000,0,100.0,7.023,1.509,0.0
2048,2,0.0,1000,1000,0,100.0,7.024,1.51,0.0
2048,4,0.0,1000,1000,0,100.0,7.02,1.511,0.0
2048,8,0.0,1000,1000,0,100.0,7.027,1.507,0.0
2048,16,0.0,1000,1000,0,100.0,7.032,1.51,0.0
4096,1,0.0,1000,1000,0,100.0,7.003,1.508,0.0
4096,2,0.0,1000,1000,0,100.0,7.005,1.509,0.0
4096,4,0.0,1000,1000,0,100.0,7.016,1.508,0.0
4096,8,0.0,1000,1000,0,100.0,7.01,1.507,0.0
4096,16,0.0,1000,1000,0,100.0,7.008,1.508,0.0
8192,1,0.0,1000,1000,0,100.0,7.003,1.509,0.0
8192,2,0.0,1000,1000,0,100.0,7.008,1.505,0.0
8192,4,0.0,1000,1000,0,100.0,7.003,1.508,0.0
8192,8,0.0,1000,1000,0,100.0,7.0,1.507,0.0
8192,16,0.0,1000,1000,0,100.0,7.002,1.508,0.0
1,1,0.01,1000,888,112,88.8,40.974,15.409,1.0
1,2,0.01,1000,893,107,89.3,40.832,15.181,1.0
1,4,0.01,1000,897,103,89.7,40.395,16.424,1.0
1,8,0.01,1000,899,101,89.9,40.153,16.365,1.0
1,16,0.01,1000,881,119,88.1,42.245,17.581,1.0
2,1,0.01,1000,963,37,96.3,20.172,4.149,1.32
2,2,0.01,1000,966,34,96.6,19.839,4.235,1.32
2,4,0.01,1000,964,36,96.39999999999999,20.496,4.341,1.32
2,8,0.01,1000,965,35,96.5,20.431,4.495,1.321
2,16,0.01,1000,964,36,96.39999999999999,21.063,6.002,1.321
4,1,0.01,1000,995,5,99.5,10.018,1.655,1.399
4,2,0.01,1000,994,6,99.4,10.141,1.625,1.399
4,4,0.01,1000,993,7,99.3,10.286,1.734,1.399
4,8,0.01,1000,995,5,99.5,9.816,1.724,1.399
4,16,0.01,1000,996,4,99.6,9.96,1.657,1.403
8,1,0.01,1000,1000,0,100.0,7.731,1.508,1.399
8,2,0.01,1000,1000,0,100.0,7.715,1.5,1.399
8,4,0.01,1000,1000,0,100.0,7.751,1.512,1.399
8,8,0.01,1000,1000,0,100.0,7.725,1.517,1.399
8,16,0.01,1000,1000,0,100.0,7.732,1.494,1.399
16,1,0.01,1000,1000,0,100.0,7.489,1.507,1.399
16,2,0.01,1000,1000,0,100.0,7.475,1.514,1.399
16,4,0.01,1000,1000,0,100.0,7.494,1.515,1.399
16,8,0.01,1000,1000,0,100.0,7.488,1.523,1.399
16,16,0.01,1000,1000,0,100.0,7.478,1.511,1.399
32,1,0.01,1000,1000,0,100.0,7.342,1.514,1.399
32,2,0.01,1000,1000,0,100.0,7.333,1.513,1.399
32,4,0.01,1000,1000,0,100.0,7.325,1.522,1.399
32,8,0.01,1000,1000,0,100.0,7.329,1.523,1.399
32,16,0.01,1000,1000,0,100.0,7.334,1.523,1.399
64,1,0.01,1000,1000,0,100.0,7.227,1.524,1.399
64,2,0.01,1000,1000,0,100.0,7.228,1.506,1.399
64,4,0.01,1000,1000,0,100.0,7.221,1.52,1.399
64,8,0.01,1000,1000,0,100.0,7.221,1.513,1.399
64,16,0.01,1000,1000,0,100.0,7.221,1.524,1.399
128,1,0.01,1000,1000,0,100.0,7.135,1.526,1.399
128,2,0.01,1000,1000,0,100.0,7.126,1.51,1.399
128,4,0.01,1000,1000,0,100.0,7.129,1.522,1.399
128,8,0.01,1000,1000,0,100.0,7.121,1.519,1.399
128,16,0.01,1000,1000,0,100.0,7.126,1.524,1.399
256,1,0.01,1000,1000,0,100.0,7.062,1.507,1.399
256,2,0.01,1000,1000,0,100.0,7.053,1.51,1.399
256,4,0.01,1000,1000,0,100.0,7.061,1.509,1.399
256,8,0.01,1000,1000,0,100.0,7.055,1.511,1.399
256,16,0.01,1000,1000,0,100.0,7.064,1.507,1.399
512,1,0.01,1000,1000,0,100.0,7.015,1.508,1.399
512,2,0.01,1000,1000,0,100.0,7.012,1.508,1.399
512,4,0.01,1000,1000,0,100.0,7.013,1.508,1.399
512,8,0.01,1000,1000,0,100.0,7.014,1.508,1.399
512,16,0.01,1000,1000,0,100.0,7.011,1.508,1.399
1024,1,0.01,1000,1000,0,100.0,6.999,1.508,1.399
1024,2,0.01,1000,1000,0,100.0,6.998,1.508,1.399
1024,4,0.01,1000,1000,0,100.0,6.999,1.508,1.399
1024,8,0.01,1000,1000,0,100.0,6.998,1.508,1.399
1024,16,0.01,1000,1000,0,100.0,6.999,1.508,1.399
2048,1,0.01,1000,1000,0,100.0,6.996,1.51,1.399
2048,2,0.01,1000,1000,0,100.0,6.996,1.51,1.399
2048,4,0.01,1000,1000,0,100.0,6.996,1.51,1.399
2048,8,0.01,1000,1000,0,100.0,6.996,1.51,1.399
2048,16,0.01,1000,1000,0,100.0,6.996,1.51,1.399
4096,1,0.01,1000,1000,0,100.0,6.996,1.51,1.399
4096,2,0.01,1000,1000,0,100.0,6.996,1.51,1.399
4096,4,0.01,1000,1000,0,100.0,6.996,1.51,1.399
4096,8,0.01,1000,1000,0,100.0,6.996,1.51,1.399
4096,16,0.01,1000,1000,0,100.0,6.996,1.51,1.399
8192,1,0.01,1000,1000,0,100.0,6.996,1.51,1.399
8192,2,0.01,1000,1000,0,100.0,6.996,1.51,1.399
8192,4,0.01,1000,1000,0,100.0,6.996,1.51,1.399
8192,8,0.01,1000,1000,0,100.0,6.996,1.51,1.399
8192,16,0.01,1000,1000,0,100.0,6.996,1.51,1.399
1,1,0.05,1000,942,58,94.19999999999999,21.736,14.917,1.556
1,2,0.05,1000,943,57,94.3,21.515,14.831,1.555
1,4,0.05,1000,941,59,94.1,21.623,15.504,1.563
1,8,0.05,1000,940,60,94.0,21.906,16.967,1.565
1,16,0.05,1000,943,57,94.3,21.664,17.101,1.558
2,1,0.05,1000,996,4,99.6,9.625,3.91,1.435
2,2,0.05,1000,996,4,99.6,9.4,3.934,1.445
2,4,0.05,1000,995,5,99.5,9.621,4.195,1.445
2,8,0.05,1000,996,4,99.6,9.649,4.07,1.435
2,16,0.05,1000,995,5,99.5,9.632,4.918,1.445
4,1,0.05,1000,999,1,99.9,8.007,1.635,1.418
4,2,0.05,1000,999,1,99.9,8.009,1.611,1.418
4,4,0.05,1000,999,1,99.9,8.009,1.607,1.418
4,8,0.05,1000,999,1,99.9,7.99,1.622,1.418
4,16,0.05,1000,999,1,99.9,8.0,1.955,1.418
8,1,0.05,1000,1000,0,100.0,7.521,1.508,1.399
8,2,0.05,1000,1000,0,100.0,7.512,1.517,1.399
8,4,0.05,1000,1000,0,100.0,7.518,1.523,1.399
8,8,0.05,1000,1000,0,100.0,7.527,1.512,1.399
8,16,0.05,1000,1000,0,100.0,7.517,1.516,1.399
16,1,0.05,1000,1000,0,100.0,7.325,1.512,1.399
16,2,0.05,1000,1000,0,100.0,7.325,1.516,1.399
16,4,0.05,1000,1000,0,100.0,7.323,1.518,1.399
16,8,0.05,1000,1000,0,100.0,7.335,1.515,1.399
16,16,0.05,1000,1000,0,100.0,7.323,1.516,1.399
32,1,0.05,1000,1000,0,100.0,7.161,1.518,1.399
32,2,0.05,1000,1000,0,100.0,7.165,1.523,1.399
32,4,0.05,1000,1000,0,100.0,7.161,1.519,1.399
32,8,0.05,1000,1000,0,100.0,7.162,1.525,1.399
32,16,0.05,1000,1000,0,100.0,7.162,1.52,1.399
64,1,0.05,1000,1000,0,100.0,7.059,1.509,1.399
64,2,0.05,1000,1000,0,100.0,7.057,1.51,1.399
64,4,0.05,1000,1000,0,100.0,7.057,1.51,1.399
64,8,0.05,1000,1000,0,100.0,7.058,1.509,1.399
64,16,0.05,1000,1000,0,100.0,7.059,1.509,1.399
128,1,0.05,1000,1000,0,100.0,7.008,1.508,1.399
128,2,0.05,1000,1000,0,100.0,7.007,1.508,1.399
