instance,ratio,k_mode,split_mode,converged,time,nodes,total_depth,depth_attempts,final_depth_iterations,total_iterations,m_states,Ff,Fb,min_frontier,max_frontier,min_over_m,max_over_m,geo_over_m,prod_over_m2,imbalance,iter0_fill_ratio,iter1_fill_ratio
0,0.01,k1,dynamic,True,3.17762,68609426,57,9,2,16,34770.48888888889,178,1,1,178,2.8760021269633508e-05,0.005119283785994765,0.0003837065422565784,1.4723071057049936e-07,178.0,0.000111205,6.39112e-07
0,0.01,k1,fixed,True,46.8924,1130613085,57,9,2,19,34770.48888888889,24607730,1061863,1061863,24607730,30.539202465436844,707.7188381973986,147.01417920838145,21613.168888314092,23.17411003114338,0.962151,0.226727
0,0.01,optk,dynamic,True,3.17762,68609426,57,9,2,16,34770.48888888889,178,1,1,178,2.8760021269633508e-05,0.005119283785994765,0.0003837065422565784,1.4723071057049936e-07,178.0,0.000111205,6.39112e-07
0,0.01,optk,fixed,True,46.8924,1130613085,57,9,2,19,34770.48888888889,24607730,1061863,1061863,24607730,30.539202465436844,707.7188381973986,147.01417920838145,21613.168888314092,23.17411003114338,0.962151,0.226727
0,0.1,k1,dynamic,True,3.09583,68609426,57,9,2,16,346976.7111111111,178,1,1,178,2.882037808237146e-06,0.000513002729866212,3.845118025761095e-05,1.4784932632032902e-09,178.0,1.11439e-05,6.40453e-08
0,0.1,k1,fixed,True,35.5283,593261032,57,9,2,16,346976.7111111111,24607730,308752,308752,24607730,0.8898349373688352,70.92040823489147,7.9440202051522295,63.10745701986688,79.70063351816344,0.279961,0.00751065
0,0.1,optk,dynamic,True,3.09583,68609426,57,9,2,16,346976.7111111111,178,1,1,178,2.882037808237146e-06,0.000513002729866212,3.845118025761095e-05,1.4784932632032902e-09,178.0,1.11439e-05,6.40453e-08
0,0.1,optk,fixed,True,35.5283,593261032,57,9,2,16,346976.7111111111,24607730,308752,308752,24607730,0.8898349373688352,70.92040823489147,7.9440202051522295,63.10745701986688,79.70063351816344,0.279961,0.00751065
0,0.5,k1,dynamic,True,3.1092,68609426,57,9,2,16,1734883.5555555555,178,1,1,178,5.764075616474292e-07,0.00010260054597324239,7.69023605152219e-06,5.913973052813161e-11,178.0,2.22878e-06,1.28091e-08
0,0.5,k1,fixed,True,34.6961,593261032,57,9,2,16,1734883.5555555555,24607730,72168,72168,24607730,0.04159818090897167,14.184081646978292,0.7681354010710792,0.5900319943786279,340.9784114843144,0.0635968,0.000338441
0,0.5,optk,dynamic,True,3.09736,68609426,57,9,2,16,1734883.5555555555,178,1,1,178,5.764075616474292e-07,0.00010260054597324239,7.69023605152219e-06,5.913973052813161e-11,178.0,8.9151e-06,5.12362e-08
0,0.5,optk,fixed,True,34.9504,593261032,57,9,2,16,1734883.5555555555,24607730,3144,3144,24607730,0.0018122253738195174,14.184081646978292,0.16032701788838272,0.02570475266498179,7826.8861323155215,0.231105,6.14835e-05
1,0.01,k1,dynamic,True,7.20606,154114096,55,7,2,14,46785.42222222222,2484110,1081980,1081980,2484110,23.126434444917315,53.09581237080496,35.04164414083692,1227.9168240930505,2.295892715207305,0.339527,0.181521
1,0.01,k1,fixed,True,7.55592,158655425,55,7,2,15,46785.42222222222,2319912,1333544,1333544,2319912,28.503408469114785,49.58621488934825,37.594895097983645,1413.3761374283945,1.7396591338568506,0.340933,0.205832
1,0.01,optk,dynamic,True,7.20606,154114096,55,7,2,14,46785.42222222222,2484110,1081980,1081980,2484110,23.126434444917315,53.09581237080496,35.04164414083692,1227.9168240930505,2.295892715207305,0.339527,0.181521
1,0.01,optk,fixed,True,7.55592,158655425,55,7,2,15,46785.42222222222,2319912,1333544,1333544,2319912,28.503408469114785,49.58621488934825,37.594895097983645,1413.3761374283945,1.7396591338568506,0.340933,0.205832
1,0.1,k1,dynamic,True,5.15269,106823085,55,7,2,13,467672.1777777778,2484110,127254,127254,2484110,0.2721008562122908,5.311648026195748,1.202207958643673,1.4453039758261872,19.520879500840838,0.0406223,0.00238857
1,0.1,k1,fixed,True,5.73566,112954757,55,7,2,13,467672.1777777778,2319912,160221,160221,2319912,0.3425925415561746,4.960551664679836,1.303628782408312,1.6994480023233778,14.479450259329301,0.0408839,0.00277245
1,0.1,optk,dynamic,True,4.82409,106823085,55,7,2,13,467672.1777777778,2484110,141,141,2484110,0.00030149323970903074,5.311648026195748,0.04001782067544202,0.0016014259716118345,17617.801418439718,0.282373,2.39484e-05
1,0.1,optk,fixed,True,5.2112,112954757,55,7,2,13,467672.1777777778,2319912,138,138,2319912,0.00029507848992798755,4.960551664679836,0.03825901324424731,0.001463752094423491,16810.956521739132,0.283934,2.24279e-05
1,0.5,k1,dynamic,True,5.57116,106823085,55,7,2,13,2337996.8,2484110,26510,26510,2484110,0.011338766588559916,1.062495038487649,0.10976057235143427,0.012047383242914437,93.70463975858166,0.0082617,9.86409e-05
1,0.5,k1,fixed,True,5.9684,112954757,55,7,2,13,2337996.8,2319912,32423,32423,2319912,0.013867854737867906,0.9922648311580239,0.11730551794350726,0.0137605845399945,71.55142954075811,0.0083144,0.000114134
1,0.5,optk,dynamic,True,6.81569,106823085,55,7,2,13,2337996.8,2484110,7,7,2484110,2.994016073931325e-06,1.062495038487649,0.0017835714798415854,3.1811272237043025e-06,354872.85714285716,0.288325,2.72788e-06
1,0.5,optk,fixed,True,7.17872,112954757,55,7,2,13,2337996.8,2319912,9,9,2319912,3.849449237911703e-06,0.9922648311580239,0.0019543983980007352,3.81967309810784e-06,257768.0,0.289869,3.50728e-06
2,0.01,k1,dynamic,True,122.727,2780098903,59,10,2,21,182590.57777777777,47808853,39586276,39586276,47808853,216.8034981968158,261.8363640767152,238.25834652109657,56767.03968696693,1.2077128194629876,0.734054,0.617206
2,0.01,k1,fixed,True,134.746,3043430149,59,10,2,21,182590.57777777777,57069307,35827345,35827345,57069307,196.21683350826427,312.55340606598173,247.64539091307486,61328.23964048966,1.5928980224462628,0.764049,0.616602
