Size,K_Hash,Optimal_Set_Ratio,Optimal_Stab_Percent,Achieves_Target
1,1,0.1,96.8,True
1,2,0.1,96.5,True
1,4,0.1,96.7,True
1,8,0.1,96.5,True
1,16,0.1,96.7,True
2,1,0.0,96.3,True
2,2,0.0,96.7,True
2,4,0.0,95.89999999999999,True
2,8,0.0,96.3,True
2,16,0.0,95.8,True
4,1,0.0,98.6,True
4,2,0.0,99.2,True
4,4,0.0,98.8,True
4,8,0.0,98.9,True
4,16,0.0,99.2,True
8,1,0.0,100.0,True
8,2,0.0,99.9,True
8,4,0.0,99.8,True
8,8,0.0,99.9,True
8,16,0.0,99.9,True
16,1,0.0,100.0,True
16,2,0.0,100.0,True
16,4,0.0,99.9,True
16,8,0.0,100.0,True
16,16,0.0,100.0,True
32,1,0.0,100.0,True
32,2,0.0,100.0,True
32,4,0.0,100.0,True
32,8,0.0,100.0,True
32,16,0.0,100.0,True
64,1,0.0,100.0,True
64,2,0.0,100.0,True
64,4,0.0,100.0,True
64,8,0.0,100.0,True
64,16,0.0,100.0,True
128,1,0.0,100.0,True
128,2,0.0,100.0,True
128,4,0.0,100.0,True
128,8,0.0,100.0,True
128,16,0.0,100.0,True
256,1,0.0,100.0,True
256,2,0.0,100.0,True
256,4,0.0,100.0,True
256,8,0.0,100.0,True
256,16,0.0,100.0,True
512,1,0.0,100.0,True
512,2,0.0,100.0,True
512,4,0.0,100.0,True
512,8,0.0,100.0,True
512,16,0.0,100.0,True
1024,1,0.0,100.0,True
1024,2,0.0,100.0,True
1024,4,0.0,100.0,True
1024,8,0.0,100.0,True
1024,16,0.0,100.0,True
2048,1,0.0,100.0,True
2048,2,0.0,100.0,True
2048,4,0.0,100.0,True
2048,8,0.0,100.0,True
2048,16,0.0,100.0,True
4096,1,0.0,100.0,True
4096,2,0.0,100.0,True
4096,4,0.0,100.0,True
4096,8,0.0,100.0,True
4096,16,0.0,100.0,True
8192,1,0.0,100.0,True
8192,2,0.0,100.0,True
8192,4,0.0,100.0,True
8192,8,0.0,100.0,True
8192,16,0.0,100.0,True
