Puzzle,Size_KiB,K_Hashes,NoSet_LoopCount,Set_LoopCount,Set_Limit,Set_Size,Set_Ratio,Final_Inserted
2,1,1,201,68,28,1,0.25,1
2,1,8,201,179,28,1,0.25,1
2,1,16,201,65,28,1,0.25,1
2,2,16,201,10,56,1,0.25,1
13,1,2,201,9,28,2,0.25,2
21,1,1,201,10,28,2,0.25,2
21,1,2,201,12,28,2,0.25,2
21,1,4,201,12,28,2,0.25,2
21,1,8,201,12,28,2,0.25,2
21,1,16,201,12,28,2,0.25,2
21,2,1,201,8,56,2,0.25,2
21,2,2,201,9,56,2,0.25,2
24,1,1,201,78,28,3,0.25,3
24,1,2,201,52,28,3,0.25,3
24,1,4,201,100,28,3,0.25,3
24,1,8,201,50,28,3,0.25,3
24,2,1,201,10,56,3,0.25,3
24,2,4,201,10,56,3,0.25,3
24,2,8,201,10,56,3,0.25,3
24,2,16,201,11,56,3,0.25,3
24,4,4,201,8,113,3,0.25,3
31,1,4,201,10,28,1,0.25,1
31,1,8,201,10,28,1,0.25,1
31,1,16,201,10,28,1,0.25,1
42,1,2,201,8,28,2,0.25,2
49,1,2,201,10,28,1,0.25,1
49,1,4,201,10,28,1,0.25,1
49,1,8,201,10,28,1,0.25,1
52,1,1,201,13,28,1,0.25,1
52,1,2,201,12,28,1,0.25,1
52,1,4,201,11,28,1,0.25,1
52,1,8,201,13,28,1,0.25,1
52,1,16,201,13,28,1,0.25,1
63,1,1,201,12,28,2,0.25,2
63,1,2,201,12,28,2,0.25,2
63,1,4,201,12,28,2,0.25,2
63,1,8,201,15,28,2,0.25,2
63,1,16,201,11,28,2,0.25,2
63,2,2,201,9,56,2,0.25,2
77,1,4,201,9,28,3,0.25,3
84,2,1,201,18,56,1,0.25,1
84,2,2,201,17,56,1,0.25,1
84,2,4,201,20,56,1,0.25,1
84,2,8,201,20,56,1,0.25,1
84,2,16,201,29,56,1,0.25,1
84,4,1,201,9,113,1,0.25,1
84,4,2,201,9,113,1,0.25,1
84,4,4,201,9,113,1,0.25,1
86,1,2,201,21,28,3,0.25,3
86,1,4,201,21,28,3,0.25,3
86,1,8,201,18,28,3,0.25,12
86,1,16,201,35,28,3,0.25,3
86,2,1,201,9,56,3,0.25,3
86,2,4,201,10,56,3,0.25,12
86,2,8,201,9,56,3,0.25,3
86,4,4,201,8,113,3,0.25,12
86,4,8,201,8,113,3,0.25,12
91,1,1,201,94,28,1,0.25,1
91,1,2,201,103,28,1,0.25,1
91,1,4,201,47,28,1,0.25,1
91,1,8,201,100,28,1,0.25,1
91,1,16,201,34,28,1,0.25,1
91,2,2,201,11,56,1,0.25,1
91,2,4,201,10,56,1,0.25,1
91,2,8,201,11,56,1,0.25,1
91,2,16,201,10,56,1,0.25,1
91,4,1,201,8,113,1,0.25,1
91,4,4,201,8,113,1,0.25,1
92,1,1,201,14,28,1,0.25,1
92,1,2,201,13,28,1,0.25,1
92,1,4,201,18,28,1,0.25,1
92,1,8,201,12,28,1,0.25,1
92,1,16,201,12,28,1,0.25,1
92,2,1,201,9,56,1,0.25,1
92,2,8,201,9,56,1,0.25,1
96,1,1,201,17,28,1,0.25,1
96,1,2,201,15,28,1,0.25,1
96,1,8,201,22,28,1,0.25,1
96,1,16,201,21,28,1,0.25,1
104,1,1,201,29,28,2,0.25,2
104,1,2,201,19,28,2,0.25,2
104,1,4,201,25,28,2,0.25,2
104,1,8,201,15,28,2,0.25,2
104,1,16,201,16,28,2,0.25,2
104,2,16,201,9,56,2,0.25,2
113,1,2,201,12,28,1,0.25,1
113,1,8,201,11,28,1,0.25,1
113,1,16,201,11,28,1,0.25,1
116,1,1,201,13,28,1,0.25,1
116,1,2,201,21,28,1,0.25,1
116,1,8,201,13,28,1,0.25,1
116,1,16,201,13,28,1,0.25,1
119,1,1,201,11,28,2,0.25,2
119,1,2,201,11,28,2,0.25,2
119,1,4,201,13,28,2,0.25,2
119,1,8,201,13,28,2,0.25,2
119,1,16,201,13,28,2,0.25,2
122,1,1,201,18,28,2,0.25,2
122,1,2,201,16,28,2,0.25,2
122,1,4,201,20,28,2,0.25,2
122,1,8,201,16,28,2,0.25,2
122,1,16,201,21,28,2,0.25,2
122,2,1,201,10,56,2,0.25,2
122,2,2,201,9,56,2,0.25,2
122,2,16,201,10,56,2,0.25,2
122,4,8,201,8,113,2,0.25,2
130,1,1,201,12,28,5,0.25,7
130,1,2,201,10,28,5,0.25,7
130,1,4,201,11,28,5,0.25,5
130,1,8,201,12,28,5,0.25,7
130,1,16,201,10,28,5,0.25,7
130,2,1,201,9,56,5,0.25,5
130,2,2,201,9,56,5,0.25,5
130,2,8,201,9,56,5,0.25,5
130,2,16,201,9,56,5,0.25,5
145,1,1,201,13,28,1,0.25,1
145,1,2,201,11,28,1,0.25,1
145,1,4,201,13,28,1,0.25,1
145,1,8,201,13,28,1,0.25,1
145,1,16,201,12,28,1,0.25,1
145,2,2,201,9,56,1,0.25,1
155,1,1,201,38,28,1,0.25,1
155,1,2,201,24,28,1,0.25,1
155,1,4,201,22,28,1,0.25,1
155,1,8,201,40,28,1,0.25,1
155,1,16,201,36,28,1,0.25,1
155,2,2,201,10,56,1,0.25,1
155,2,4,201,12,56,1,0.25,1
174,1,1,201,20,28,2,0.25,5
174,1,2,201,22,28,2,0.25,5
174,1,4,201,18,28,2,0.25,5
174,1,8,201,16,28,2,0.25,5
174,1,16,201,16,28,2,0.25,5
174,2,1,201,10,56,2,0.25,5
174,2,8,201,10,56,2,0.25,5
175,1,1,201,38,28,1,0.25,1
175,1,2,201,24,28,1,0.25,1
175,1,4,201,40,28,1,0.25,1
175,1,8,201,46,28,1,0.25,1
175,1,16,201,29,28,1,0.25,1
180,1,4,201,23,28,28,0.25,2587
180,4,1,201,22,113,3,0.25,3
180,4,2,201,24,113,3,0.25,3
180,4,4,201,52,113,3,0.25,3
180,4,8,201,50,113,3,0.25,3
180,4,16,201,50,113,3,0.25,3
180,8,2,201,10,227,3,0.25,3
180,8,4,201,10,227,3,0.25,3
180,16,4,201,8,455,3,0.25,3
181,1,1,201,11,28,1,0.25,1
181,1,8,201,13,28,1,0.25,1
181,1,16,201,11,28,1,0.25,1
184,1,1,201,16,28,3,0.25,3
184,1,2,201,20,28,3,0.25,3
184,1,4,201,12,28,3,0.25,3
184,1,8,201,18,28,3,0.25,3
184,1,16,201,26,28,3,0.25,3
191,2,1,201,19,56,1,0.25,1
191,2,2,201,20,56,1,0.25,1
191,2,4,201,24,56,1,0.25,1
191,2,8,201,20,56,1,0.25,1
191,2,16,201,23,56,1,0.25,1
211,1,1,201,12,28,2,0.25,2
212,2,1,201,24,56,2,0.25,2
212,2,2,201,62,56,2,0.25,2
212,2,4,201,25,56,2,0.25,2
212,2,8,201,26,56,2,0.25,2
212,2,16,201,44,56,2,0.25,2
215,1,1,201,14,28,2,0.25,2
215,1,2,201,14,28,2,0.25,2
215,1,4,201,13,28,2,0.25,2
215,1,16,201,16,28,2,0.25,2
215,2,1,201,9,56,2,0.25,2
223,1,1,201,9,28,1,0.25,1
227,1,1,201,14,28,2,0.25,2
227,1,2,201,16,28,2,0.25,2
227,1,4,201,14,28,2,0.25,2
227,1,8,201,14,28,2,0.25,2
227,1,16,201,14,28,2,0.25,2
227,2,8,201,10,56,2,0.25,2
228,1,1,201,12,28,1,0.25,1
228,1,2,201,12,28,1,0.25,1
228,1,4,201,12,28,1,0.25,1
228,1,8,201,14,28,1,0.25,1
228,1,16,201,15,28,1,0.25,1
236,1,2,201,17,28,1,0.25,1
236,1,4,201,20,28,1,0.25,2
236,1,8,201,15,28,1,0.25,1
236,1,16,201,15,28,1,0.25,1
236,2,16,201,11,56,1,0.25,1
249,1,2,201,10,28,1,0.25,1
253,1,1,201,20,28,1,0.25,1
253,1,2,201,27,28,1,0.25,2
253,1,4,201,26,28,1,0.25,1
253,1,8,201,23,28,1,0.25,2
253,1,16,201,33,28,1,0.25,2
259,2,1,201,12,56,4,0.25,4
259,2,2,201,14,56,4,0.25,4
259,2,4,201,12,56,4,0.25,4
259,2,8,201,15,56,4,0.25,4
259,2,16,201,12,56,4,0.25,4
259,4,1,201,10,113,4,0.25,4
259,4,4,201,9,113,4,0.25,4
259,4,8,201,9,113,4,0.25,4
264,1,1,201,10,28,3,0.25,3
264,1,4,201,10,28,3,0.25,3
264,1,8,201,10,28,3,0.25,3
264,1,16,201,10,28,3,0.25,3
266,1,1,201,8,28,3,0.25,5
266,1,2,201,9,28,3,0.25,3
266,1,4,201,9,28,3,0.25,3
266,1,16,201,9,28,3,0.25,3
266,2,4,201,8,56,3,0.25,5
266,2,16,201,8,56,3,0.25,5
273,1,4,201,8,28,1,0.25,1
282,1,4,201,11,28,1,0.25,1
287,1,2,201,9,28,6,0.25,6
287,1,4,201,9,28,6,0.25,6
301,1,1,201,13,28,1,0.25,1
301,1,2,201,13,28,1,0.25,1
301,1,4,201,13,28,1,0.25,1
301,1,8,201,14,28,1,0.25,1
301,1,16,201,11,28,1,0.25,1
317,1,1,201,16,28,2,0.25,2
317,1,2,201,24,28,2,0.25,2
317,1,4,201,19,28,2,0.25,3
317,1,8,201,20,28,2,0.25,2
317,1,16,201,19,28,2,0.25,3
317,2,2,201,9,56,2,0.25,3
317,2,4,201,9,56,2,0.25,3
317,2,16,201,9,56,2,0.25,3
321,1,1,201,9,28,2,0.25,2
321,1,2,201,9,28,2,0.25,2
321,1,4,201,9,28,2,0.25,2
321,1,8,201,10,28,2,0.25,2
321,1,16,201,9,28,2,0.25,2
322,2,1,201,11,56,2,0.25,2
